0,489,959,759,964
1,820,516,871,914
1,427,423,929,502
0,774,14,977,877
0,410,146,864,337
0,931,331,939,812
1,756,53,923,339
1,313,787,545,979
1,12,823,102,934
2,756,965,812,992
1,743,684,789,958
2,120,314,745,489
2,692,845,866,994
1,587,176,850,273
1,674,321,793,388
2,749,672,973,965
0,943,30,990,907
0,296,50,729,664
0,212,957,490,987
2,171,31,688,88
1,991,989,994,998
1,913,943,958,953
1,278,258,367,386
2,275,796,493,971
1,70,873,798,923
2,258,985,663,998
0,601,259,831,486
1,914,94,941,102
1,558,161,994,647
0,119,662,760,838
2,378,775,526,852
1,384,670,674,972
1,249,41,270,936
0,614,742,769,780
0,427,70,575,441
0,410,478,985,753
1,619,46,931,342
0,284,55,768,922
1,40,592,728,685
0,825,291,956,950
0,147,843,592,909
1,218,675,972,911
2,249,291,350,960
1,556,80,967,675
2,609,148,968,279
2,217,605,961,862
2,407,177,548,910
2,400,936,599,938
1,721,101,925,455
0,268,631,735,814
2,549,969,612,991
2,553,268,689,432
1,817,668,889,897
2,801,544,858,556
2,615,729,832,951
1,427,477,958,948
0,164,49,852,946
0,542,449,774,776
1,923,196,980,446
2,90,310,718,846
1,657,215,744,252
1,800,239,811,712
0,502,90,619,760
2,649,512,862,844
1,334,903,823,935
1,630,233,839,445
0,713,67,839,865
0,932,50,982,411
1,480,729,984,910
0,100,219,796,395
0,758,108,850,950
1,427,276,439,938
0,178,284,670,536
2,540,27,625,102
1,906,722,936,948
2,345,418,859,627
2,175,775,580,781
2,863,28,929,735
1,824,858,905,973
2,752,312,863,425
0,985,716,988,852
1,68,504,763,745
2,76,209,810,720
1,657,607,676,664
2,596,869,896,921
1,915,411,968,945
1,368,39,902,986
0,11,549,393,597
1,842,893,976,911
2,274,106,581,329
2,406,403,780,950
2,408,988,500,994
2,217,73,826,951
0,917,872,961,911
2,394,34,510,572
2,424,603,583,626
2,106,159,755,738
1,244,610,472,709
0,350,265,884,690
0,688,184,928,280
2,279,443,720,797
1,615,493,888,610
2,118,413,736,632
0,798,782,829,813
1,250,934,442,972
0,68,503,400,949
2,297,482,313,871
2,710,3,839,859
0,125,300,546,888
2,482,39,584,159
1,536,89,765,962
0,530,518,843,676
0,994,467,994,676
0,623,628,744,927
2,704,912,837,983
0,154,364,517,412
2,344,409,780,524
1,578,740,725,879
0,251,933,632,957
0,827,705,971,789
2,191,282,470,929
2,324,525,446,867
2,534,343,874,971
2,550,650,633,980
2,837,404,881,915
2,338,881,845,905
0,469,462,750,696
0,741,703,892,870
1,570,215,733,562
0,445,576,870,775
0,466,747,554,878
1,820,453,868,712
1,892,706,938,792
1,300,238,894,746
1,306,44,457,444
1,912,569,967,963
2,109,756,297,867
0,37,546,41,951
0,321,637,790,910
2,66,50,579,301
2,933,221,933,791
0,486,676,878,797
0,417,231,556,317
2,904,468,981,873
0,417,675,749,712
0,692,371,821,842
2,324,73,830,543
0,912,490,977,757
1,634,872,902,949
2,266,779,870,798
0,772,982,990,996
1,607,46,798,559
0,295,602,963,987
0,657,86,944,742
1,334,639,456,821
1,997,667,997,670
1,725,832,951,945
1,30,120,952,984
0,860,965,917,976
2,471,997,840,998
1,319,307,928,504
2,823,631,940,908
2,969,984,981,993
1,691,319,865,954
2,911,926,938,929
0,953,937,968,991
2,914,643,975,840
0,266,982,436,996
1,101,896,321,932
1,193,852,751,885
1,576,532,863,684
0,761,456,940,783
0,20,290,398,933
1,435,335,644,652
0,830,569,905,770
1,630,517,905,654
0,664,53,886,976
2,275,416,408,719
0,370,621,515,793
0,483,373,654,749
0,656,786,847,928
1,532,752,945,974
2,301,150,880,792
1,951,488,958,952
0,207,729,882,828
2,694,532,973,961
2,676,639,891,802
1,653,6,905,519
2,391,109,418,312
0,877,423,957,932
0,340,145,563,522
1,978,467,988,895
1,396,418,420,885
1,31,308,816,316
0,107,675,758,824
0,61,82,789,876
0,750,743,754,760
2,88,733,736,968
1,754,349,849,897
2,157,50,975,781
1,230,231,865,842
1,516,317,630,329
1,697,820,829,903
0,218,250,271,732
2,56,167,404,431
2,626,891,680,927
2,370,207,791,514
2,860,74,949,888
0,416,527,616,541
1,745,449,786,908
0,485,554,689,689
0,586,62,693,141
2,506,759,768,829
0,473,109,929,166
0,760,617,773,789
2,595,683,618,789
1,210,775,825,972
2,12,426,179,982
0,774,539,778,786
0,102,498,121,807
1,706,897,834,965
1,678,529,824,627
0,7,765,615,870
1,730,872,974,943
1,595,626,836,711
1,215,424,841,959
2,341,780,861,813
2,507,503,568,822
0,252,603,349,655
2,93,521,154,834
0,565,682,951,954
0,544,318,703,418
2,756,953,891,964
0,531,123,856,991
0,148,315,776,559
1,925,835,963,971
0,895,944,967,964
1,102,527,650,747
2,626,105,738,720
1,160,75,384,922
2,813,724,903,941
0,207,107,982,849
2,750,505,961,697
2,105,410,885,819
0,226,104,298,283
1,224,604,508,762
0,477,368,523,506
1,477,901,627,936
1,887,131,889,670
0,896,994,938,999
2,401,580,493,728
2,987,184,991,205
0,821,643,882,674
2,784,940,968,959
1,251,293,274,632
1,339,840,341,844
1,675,351,675,836
2,918,857,944,886
2,70,253,918,736
1,612,604,772,680
1,277,40,828,348
2,692,139,698,880
2,124,446,883,453
2,969,932,990,945
2,855,692,993,693
2,722,472,887,899
2,978,149,985,442
2,837,540,916,889
1,612,2,835,82
2,560,767,878,856
0,461,734,524,991
2,206,824,976,912
0,826,610,879,892
0,577,699,956,933
1,9,250,50,529
1,77,657,817,677
0,68,419,86,426
0,991,720,992,784
0,668,20,935,470
1,133,418,613,458
1,487,286,540,328
2,247,874,840,955
2,301,808,754,970
1,34,194,578,203
1,451,49,492,921
0,907,256,912,737
1,479,305,702,587
0,545,583,732,749
2,11,16,725,868
0,965,343,986,908
0,674,953,820,965
2,398,147,504,583
1,778,194,898,298
0,179,140,350,852
1,241,118,530,832
1,41,447,932,737
1,820,663,832,982
0,550,460,964,782
0,31,760,655,892
2,628,958,811,992
